"","crop","country","ac1","cv","Ha","d","dip.p","pollination_syndrome","sp_latin"
"141","Oil palm","Côte d'Ivoire",-0.010233317405265,0.0921917429417821,136263.379310345,0.0356004156161776,0.886529598364095,"Insect","Elaeis_guineensis"
"142","Oil palm","Cameroon",0.0779999566147658,0.0432649960404693,60953.6034482759,0.0261901477692916,0.993550047683799,"Insect","Elaeis_guineensis"
"143","Oil palm","Ecuador",-0.341154994575358,0.120973526782613,90703.8793103448,0.0270957230311467,0.992522079313662,"Insect","Elaeis_guineensis"
"144","Olive","Spain",-0.342747122050931,0.267471037404669,2248354.64102564,0.0479724489787852,0.730023278130786,"Wind","Olea_europaea"
"145","Olive","Italy",-0.614710464692479,0.220345062532806,1206852.17241379,0.0479241127255608,0.407965968778412,"Wind","Olea_europaea"
"146","Olive","Greece",-0.182720015405488,0.1702641778045,769928.705882353,0.0496155120284764,0.774425101228069,"Wind","Olea_europaea"
"147","Olive","Turkey",-0.814085709641628,0.373929533201396,580057.327586207,0.0332876662205034,0.941927320899122,"Wind","Olea_europaea"
"148","Olive","Tunisia",-0.161142395195379,0.398825913793812,1324682.77586207,0.0291075518146057,0.990238341624879,"Wind","Olea_europaea"
"149","Olive","Morocco",-0.194817006710314,0.222107860734249,461588.120689655,0.0301610250971195,0.98380650098883,"Wind","Olea_europaea"
"150","Olive","Syrian Arab Republic",-0.649493228684989,0.313517842582191,375133.431034483,0.0388489579712422,0.777983762848251,"Wind","Olea_europaea"
"151","Olive","Portugal",-0.573805575003107,0.246030168342158,347315.205882353,0.0489942238454242,0.793618331669024,"Wind","Olea_europaea"
"152","Olive","Algeria",-0.213222320383108,0.295692785026261,213581.02,0.0444184541875361,0.674307394887377,"Wind","Olea_europaea"
"153","Olive","Egypt",0.514382542639686,0.191298356139363,24199.7586206897,0.0412918183183636,0.679661448074993,"Wind","Olea_europaea"
"154","Orange","Brazil",-0.364562371271449,0.054626264942705,615330.637931034,0.0376254440541121,0.821484614816768,"Insect","Citrus_aurantium"
"155","Orange","United States of America",-0.144833963448845,0.107618023764435,284652.172413793,0.0359634279027516,0.874869451886463,"Insect","Citrus_aurantium"
"156","Orange","Mexico",0.174867780236132,0.0807955812853598,222767.086206897,0.0384478878644116,0.793904125638189,"Insect","Citrus_aurantium"
"157","Orange","India",0.127707947579347,0.0873873756469894,238688.620689655,0.0382535576903844,0.801309272894726,"Insect","Citrus_aurantium"
"158","Orange","Spain",-0.32363031852138,0.103921673834068,128147.344827586,0.0260420285663037,0.993718185951368,"Insect","Citrus_aurantium"
"159","Orange","China, mainland",0.180309885467797,0.104987083854812,211316.965517241,0.0322544691345461,0.958940425132188,"Insect","Citrus_aurantium"
"160","Orange","Italy",-0.312248775609263,0.0996639861242776,95806.1034482759,0.0276887352582266,0.991848918464177,"Insect","Citrus_aurantium"
"161","Orange","Egypt",0.241842486425137,0.080713006810144,78145.775862069,0.0344064199481978,0.917153438441436,"Insect","Citrus_aurantium"
"162","Orange","Iran (Islamic Republic of)",-0.517477166119555,0.145827287564177,78730.7931034483,0.034716178289021,0.910294094391109,"Insect","Citrus_aurantium"
"163","Orange","Pakistan",0.187080655638528,0.126890737813645,118535.431034483,0.0323194792423321,0.958071179232423,"Insect","Citrus_aurantium"
"164","Peach","China, mainland",0.294966133257524,0.0704173546661954,395402,0.0583657014370696,0.138172972465524,"Insect","Prunus_persica"
"165","Peach","Italy",-0.102246487466061,0.0984139238039374,87838.4482758621,0.0271372896981836,0.992474894699897,"Insect","Prunus_persica"
"166","Peach","United States of America",0.151582554342817,0.0743653742686591,83769.6206896552,0.0356953328416466,0.883480806923275,"Insect","Prunus_persica"
"167","Peach","Spain",-0.231150085185999,0.106319651549153,57245.224137931,0.0318239683035906,0.964696623589597,"Insect","Prunus_persica"
"168","Peach","Greece",0.265113347155792,0.18690235898371,38418.9310344828,0.0357669498999778,0.881180429163834,"Insect","Prunus_persica"
"169","Peach","France",-0.30074172115039,0.131705164478106,28814.4655172414,0.0257270044122913,0.994075787224056,"Insect","Prunus_persica"
"170","Peach","Turkey",-0.0664552541577693,0.114658500397396,25507.8448275862,0.0316836415267911,0.966572923745285,"Insect","Prunus_persica"
"171","Peach","Iran (Islamic Republic of)",-0.166309971797105,0.188535250120127,22211.3965517241,0.02933116264431,0.989899797130997,"Insect","Prunus_persica"
